model,filename,download_url,opendap_url,Varient,period,Var,grid,timeStep,start,stop,r,i,p,f
INM-CM4-8,tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,r1i1p1f1,historical,tas,gr1,mon,1850,1949,1,1,1,1
INM-CM4-8,tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,r1i1p1f1,historical,tas,gr1,mon,1950,1999,1,1,1,1
INM-CM4-8,tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,r1i1p1f1,historical,tas,gr1,mon,2000,2014,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,r1i1p1f1,historical,rsdt,gr1,mon,1850,1949,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,r1i1p1f1,historical,rsdt,gr1,mon,1950,1999,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,r1i1p1f1,historical,rsdt,gr1,mon,2000,2014,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,r1i1p1f1,historical,rsdt,gr1,mon,1850,1949,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_195001-199912.nc,r1i1p1f1,historical,rsdt,gr1,mon,1950,1999,1,1,1,1
INM-CM4-8,rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/rsdt/gr1/v20190530/rsdt_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_200001-201412.nc,r1i1p1f1,historical,rsdt,gr1,mon,2000,2014,1,1,1,1
INM-CM4-8,tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/INM/INM-CM4-8/historical/r1i1p1f1/Amon/tas/gr1/v20190530/tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-194912.nc,r1i1p1f1,historical,tas,gr1,mon,1850,1949,1,1,1,1
